Start_Index,Length
2,4
6,12
18,5
23,10
33,5
38,28
66,11
77,24
101,9
110,2
114,5
119,10
129,4
133,2
136,36
172,13
185,4
189,2
192,4
196,28
224,11
235,52
287,19
306,33
339,13
352,15
367,38
405,15
420,32
452,13
465,45
510,17
527,149
676,51
727,7
734,22
756,9
765,3
768,4
772,2
775,70
845,25
870,115
985,43
1028,201
1229,69
1298,6
1304,2
1307,13
1320,25
1346,2
1349,12
1362,49
1411,17
1428,286
1714,97
1811,165
1976,57
2033,32
2065,13
2078,7
2085,4
2089,2
2093,51
2144,19
2163,25
2188,150
2338,51
2389,27
2416,4
2421,15
2436,12
2448,46
2494,17
2511,77
2588,36
2624,13
2637,15
2653,2
2656,213
2869,79
2948,137
3085,47
3132,737
3869,131
